EmployeeID,recorddate_key,birthdate_key,orighiredate_key,terminationdate_key,age,length_of_service,city_name,department_name,job_title,store_name,gender_short,gender_full,termreason_desc,termtype_desc,STATUS_YEAR,STATUS,BUSINESS_UNIT
7419,12/31/2012 0:00,1/20/1988,4/11/2010,1/1/1900,24,2,Fort St John,Processed Foods,Shelf Stocker,12,M,Male,Not Applicable,Not Applicable,2012,ACTIVE,STORES
7419,12/31/2013 0:00,1/20/1988,4/11/2010,1/1/1900,25,3,Fort St John,Processed Foods,Shelf Stocker,12,M,Male,Not Applicable,Not Applicable,2013,ACTIVE,STORES
7419,12/31/2014 0:00,1/20/1988,4/11/2010,1/1/1900,26,4,Fort St John,Processed Foods,Shelf Stocker,12,M,Male,Not Applicable,Not Applicable,2014,ACTIVE,STORES
7419,12/31/2015 0:00,1/20/1988,4/11/2010,1/1/1900,27,5,Fort St John,Processed Foods,Shelf Stocker,12,M,Male,Not Applicable,Not Applicable,2015,ACTIVE,STORES
7420,12/31/2010 0:00,1/21/1988,4/12/2010,1/1/1900,22,0,Vancouver,Produce,Produce Clerk,44,F,Female,Not Applicable,Not Applicable,2010,ACTIVE,STORES
7420,12/31/2011 0:00,1/21/1988,4/12/2010,1/1/1900,23,1,Vancouver,Produce,Produce Clerk,44,F,Female,Not Applicable,Not Applicable,2011,ACTIVE,STORES
7420,12/31/2012 0:00,1/21/1988,4/12/2010,1/1/1900,24,2,Vancouver,Produce,Produce Clerk,44,F,Female,Not Applicable,Not Applicable,2012,ACTIVE,STORES
7420,12/31/2013 0:00,1/21/1988,4/12/2010,1/1/1900,25,3,Vancouver,Produce,Produce Clerk,44,F,Female,Not Applicable,Not Applicable,2013,ACTIVE,STORES
7420,12/31/2014 0:00,1/21/1988,4/12/2010,1/1/1900,26,4,Vancouver,Produce,Produce Clerk,44,F,Female,Not Applicable,Not Applicable,2014,ACTIVE,STORES
7420,12/31/2015 0:00,1/21/1988,4/12/2010,1/1/1900,27,5,Vancouver,Produce,Produce Clerk,44,F,Female,Not Applicable,Not Applicable,2015,ACTIVE,STORES
7421,12/31/2010 0:00,1/25/1988,4/14/2010,1/1/1900,22,0,Vancouver,Produce,Produce Clerk,44,M,Male,Not Applicable,Not Applicable,2010,ACTIVE,STORES
7421,12/31/2011 0:00,1/25/1988,4/14/2010,1/1/1900,23,1,Vancouver,Produce,Produce Clerk,44,M,Male,Not Applicable,Not Applicable,2011,ACTIVE,STORES
7421,12/31/2012 0:00,1/25/1988,4/14/2010,1/1/1900,24,2,Vancouver,Produce,Produce Clerk,44,M,Male,Not Applicable,Not Applicable,2012,ACTIVE,STORES
7421,12/31/2013 0:00,1/25/1988,4/14/2010,1/1/1900,25,3,Vancouver,Produce,Produce Clerk,44,M,Male,Not Applicable,Not Applicable,2013,ACTIVE,STORES
7421,12/31/2014 0:00,1/25/1988,4/14/2010,1/1/1900,26,4,Vancouver,Produce,Produce Clerk,44,M,Male,Not Applicable,Not Applicable,2014,ACTIVE,STORES
7421,12/31/2015 0:00,1/25/1988,4/14/2010,1/1/1900,27,5,Vancouver,Produce,Produce Clerk,44,M,Male,Not Applicable,Not Applicable,2015,ACTIVE,STORES
7422,12/31/2010 0:00,1/27/1988,4/15/2010,1/1/1900,22,0,Burnaby,Dairy,Dairy Person,5,M,Male,Not Applicable,Not Applicable,2010,ACTIVE,STORES
7422,12/31/2011 0:00,1/27/1988,4/15/2010,1/1/1900,23,1,Burnaby,Dairy,Dairy Person,5,M,Male,Not Applicable,Not Applicable,2011,ACTIVE,STORES
7422,12/31/2012 0:00,1/27/1988,4/15/2010,1/1/1900,24,2,Burnaby,Dairy,Dairy Person,5,M,Male,Not Applicable,Not Applicable,2012,ACTIVE,STORES
7422,12/31/2013 0:00,1/27/1988,4/15/2010,1/1/1900,25,3,Burnaby,Dairy,Dairy Person,5,M,Male,Not Applicable,Not Applicable,2013,ACTIVE,STORES
7422,12/31/2014 0:00,1/27/1988,4/15/2010,1/1/1900,26,4,Burnaby,Dairy,Dairy Person,5,M,Male,Not Applicable,Not Applicable,2014,ACTIVE,STORES
7422,12/31/2015 0:00,1/27/1988,4/15/2010,1/1/1900,27,5,Burnaby,Dairy,Dairy Person,5,M,Male,Not Applicable,Not Applicable,2015,ACTIVE,STORES
7423,12/31/2010 0:00,1/27/1988,4/15/2010,1/1/1900,22,0,Cranbrook,Processed Foods,Shelf Stocker,8,F,Female,Not Applicable,Not Applicable,2010,ACTIVE,STORES
7423,12/31/2011 0:00,1/27/1988,4/15/2010,1/1/1900,23,1,Cranbrook,Processed Foods,Shelf Stocker,8,F,Female,Not Applicable,Not Applicable,2011,ACTIVE,STORES
7423,12/31/2012 0:00,1/27/1988,4/15/2010,1/1/1900,24,2,Cranbrook,Processed Foods,Shelf Stocker,8,F,Female,Not Applicable,Not Applicable,2012,ACTIVE,STORES
